city,iso2,population
Tokyo,JP,37435191
Delhi,IN,29399141
Shanghai,CN,26317104
São Paulo,BR,21846507
Mexico City,MX,21671908
Cairo,EG,20484965
Mumbai,IN,20411274
Beijing,CN,20035455
Dhaka,BD,20183537
Osaka,JP,19222665
New York,US,18819000
Karachi,PK,15400000
Buenos Aires,AR,15100000
Chongqing,CN,15000000
Istanbul,TR,15067724
Kolkata,IN,14617882
Manila,PH,13923452
Lagos,NG,13900000
Rio de Janeiro,BR,13458000
Tianjin,CN,13245000
